global_step,epoch,lr,train_loss,val_loss
1,0,3.3333333333333334e-08,10.96214294,
2,0,6.666666666666667e-08,10.56554794,
3,0,1.0000000000000001e-07,10.56151962,
4,0,1.3333333333333334e-07,10.55570984,
5,0,1.6666666666666668e-07,10.56685257,
6,0,2.0000000000000002e-07,10.56022739,
7,0,2.3333333333333333e-07,10.55669689,
8,0,2.6666666666666667e-07,10.54664230,
9,0,3.0000000000000004e-07,10.55097771,
10,0,3.3333333333333335e-07,10.54622841,
11,0,3.6666666666666667e-07,10.55037498,
12,0,4.0000000000000003e-07,10.55114841,
13,0,4.333333333333334e-07,10.53449917,
14,0,4.6666666666666666e-07,10.53854656,
15,0,5e-07,10.53599739,
16,0,5.333333333333333e-07,10.53491402,
17,0,5.666666666666667e-07,10.52804279,
18,0,6.000000000000001e-07,10.52909660,
19,0,6.333333333333333e-07,10.52081490,
20,0,6.666666666666667e-07,10.51846218,
21,0,7.000000000000001e-07,10.51418018,
22,0,7.333333333333333e-07,10.49585915,
23,0,7.666666666666667e-07,10.52038956,
24,0,8.000000000000001e-07,10.49575233,
25,0,8.333333333333333e-07,10.47867393,
26,0,8.666666666666668e-07,10.47306442,
27,0,9.000000000000001e-07,10.48196030,
28,0,9.333333333333333e-07,10.48725224,
29,0,9.666666666666668e-07,10.46728706,
30,0,1e-06,10.45178699,
31,0,1.0333333333333335e-06,10.44726944,
32,0,1.0666666666666667e-06,10.43765259,
33,0,1.1e-06,10.43750954,
34,0,1.1333333333333334e-06,10.44001579,
35,0,1.1666666666666668e-06,10.43073845,
36,0,1.2000000000000002e-06,10.42411423,
37,0,1.2333333333333333e-06,10.43959236,
38,0,1.2666666666666667e-06,10.42189884,
39,0,1.3e-06,10.38764191,
40,0,1.3333333333333334e-06,10.38537312,
41,0,1.3666666666666668e-06,10.36865044,
42,0,1.4000000000000001e-06,10.36413193,
43,0,1.4333333333333333e-06,10.35243607,
44,0,1.4666666666666667e-06,10.34536076,
45,0,1.5000000000000002e-06,10.34574127,
46,0,1.5333333333333334e-06,10.33400917,
47,0,1.5666666666666668e-06,10.32588863,
48,0,1.6000000000000001e-06,10.30510807,
49,0,1.6333333333333333e-06,10.29896927,
50,0,1.6666666666666667e-06,10.26831436,
51,0,1.7e-06,10.29858875,
52,0,1.7333333333333336e-06,10.29013252,
53,0,1.7666666666666668e-06,10.26979637,
54,0,1.8000000000000001e-06,10.26924896,
55,0,1.8333333333333335e-06,10.21537876,
56,0,1.8666666666666667e-06,10.25947857,
57,0,1.9e-06,10.21627617,
58,0,1.9333333333333336e-06,10.19152641,
59,0,1.9666666666666668e-06,10.19087029,
60,0,2e-06,10.19058514,
61,0,2.0333333333333335e-06,10.18736172,
62,0,2.066666666666667e-06,10.14249802,
63,0,2.1000000000000002e-06,10.13614273,
64,0,2.1333333333333334e-06,10.12984276,
65,0,2.166666666666667e-06,10.12449646,
66,0,2.2e-06,10.13298988,
67,0,2.2333333333333333e-06,10.12333298,
68,0,2.266666666666667e-06,10.07360840,
69,0,2.3000000000000004e-06,10.08754063,
70,0,2.3333333333333336e-06,10.05821609,
71,0,2.3666666666666667e-06,10.04070473,
72,0,2.4000000000000003e-06,10.06493092,
73,0,2.4333333333333335e-06,10.03718758,
74,0,2.4666666666666666e-06,10.01823807,
75,0,2.5e-06,9.99447250,
76,0,2.5333333333333334e-06,9.98398495,
77,0,2.566666666666667e-06,9.98119259,
78,0,2.6e-06,9.95094776,
79,0,2.6333333333333337e-06,9.96626282,
80,0,2.666666666666667e-06,9.94878197,
81,0,2.7e-06,9.93143845,
82,0,2.7333333333333336e-06,9.92208481,
83,0,2.7666666666666667e-06,9.90144825,
84,0,2.8000000000000003e-06,9.91572094,
85,0,2.8333333333333335e-06,9.86968803,
86,0,2.8666666666666666e-06,9.82818699,
87,0,2.9e-06,9.88782215,
88,0,2.9333333333333333e-06,9.82129478,
89,0,2.9666666666666665e-06,9.83845520,
90,0,3.0000000000000005e-06,9.82909393,
91,0,3.0333333333333337e-06,9.79555035,
92,0,3.066666666666667e-06,9.79901505,
93,0,3.1000000000000004e-06,9.79083157,
94,0,3.1333333333333335e-06,9.81541252,
95,0,3.1666666666666667e-06,9.78172684,
96,0,3.2000000000000003e-06,9.78062439,
97,0,3.2333333333333334e-06,9.74555397,
98,0,3.2666666666666666e-06,9.75581551,
99,0,3.3e-06,9.73687553,
100,0,3.3333333333333333e-06,9.69688511,
101,0,3.366666666666667e-06,9.68340683,
102,0,3.4e-06,9.72981167,
103,0,3.4333333333333332e-06,9.71265030,
104,0,3.4666666666666672e-06,9.70028877,
105,0,3.5000000000000004e-06,9.69341850,
106,0,3.5333333333333335e-06,9.69479370,
107,0,3.566666666666667e-06,9.64841461,
108,0,3.6000000000000003e-06,9.65247917,
109,0,3.6333333333333334e-06,9.65063286,
110,0,3.666666666666667e-06,9.64329338,
111,0,3.7e-06,9.61912918,
112,0,3.7333333333333333e-06,9.62049007,
113,0,3.766666666666667e-06,9.61719322,
114,0,3.8e-06,9.61668110,
115,0,3.833333333333334e-06,9.60223484,
116,0,3.866666666666667e-06,9.58207607,
117,0,3.9e-06,9.60814857,
118,0,3.9333333333333335e-06,9.53846264,
119,0,3.966666666666667e-06,9.61335945,
120,0,4e-06,9.56257248,
121,0,4.033333333333333e-06,9.54304123,
122,0,4.066666666666667e-06,9.52478218,
123,0,4.1e-06,9.50683022,
124,0,4.133333333333334e-06,9.54091930,
125,0,4.166666666666667e-06,9.48891640,
126,0,4.2000000000000004e-06,9.51392746,
127,0,4.233333333333334e-06,9.46996307,
128,0,4.266666666666667e-06,9.49545860,
129,0,4.3e-06,9.47870636,
130,0,4.333333333333334e-06,9.49384689,
131,0,4.366666666666667e-06,9.49997902,
132,0,4.4e-06,9.48246765,
133,0,4.433333333333334e-06,9.44834709,
134,0,4.4666666666666665e-06,9.43340588,
135,0,4.5e-06,9.48347378,
136,0,4.533333333333334e-06,9.41395760,
137,0,4.5666666666666664e-06,9.43334675,
138,0,4.600000000000001e-06,9.40903473,
139,0,4.633333333333334e-06,9.38787746,
140,0,4.666666666666667e-06,9.42488861,
141,0,4.700000000000001e-06,9.36081314,
142,0,4.7333333333333335e-06,9.37723923,
143,0,4.766666666666667e-06,9.40478516,
144,0,4.800000000000001e-06,9.38513947,
145,0,4.833333333333333e-06,9.35140896,
146,0,4.866666666666667e-06,9.41136169,
147,0,4.9000000000000005e-06,9.39041805,
148,0,4.933333333333333e-06,9.37992287,
149,0,4.966666666666667e-06,9.35894108,
150,0,5e-06,9.32325935,
151,0,5.033333333333333e-06,9.33655548,
152,0,5.066666666666667e-06,9.35521126,
153,0,5.1e-06,9.33834553,
154,0,5.133333333333334e-06,9.28442192,
155,0,5.166666666666667e-06,9.31984043,
156,0,5.2e-06,9.31014442,
157,0,5.233333333333334e-06,9.30123520,
158,0,5.266666666666667e-06,9.24770927,
159,0,5.3e-06,9.28367233,
160,0,5.333333333333334e-06,9.28392124,
161,0,5.366666666666666e-06,9.30663967,
162,0,5.4e-06,9.23995686,
163,0,5.433333333333334e-06,9.28718662,
164,0,5.466666666666667e-06,9.29660225,
165,0,5.5e-06,9.27885532,
166,0,5.5333333333333334e-06,9.25475883,
167,0,5.566666666666666e-06,9.21045876,
168,0,5.600000000000001e-06,9.24044991,
169,0,5.633333333333334e-06,9.26188278,
170,0,5.666666666666667e-06,9.22798920,
171,0,5.7000000000000005e-06,9.23236084,
172,0,5.733333333333333e-06,9.17863655,
173,0,5.766666666666667e-06,9.22938919,
174,0,5.8e-06,9.21131897,
175,0,5.833333333333334e-06,9.21552849,
176,0,5.866666666666667e-06,9.17406273,
177,0,5.9e-06,9.17665482,
178,0,5.933333333333333e-06,9.18910408,
179,0,5.9666666666666666e-06,9.15145969,
180,0,6.000000000000001e-06,9.20674896,
181,0,6.033333333333334e-06,9.13341904,
182,0,6.066666666666667e-06,9.18985081,
183,0,6.1e-06,9.13760471,
184,0,6.133333333333334e-06,9.12732315,
185,0,6.166666666666667e-06,9.13490868,
186,0,6.200000000000001e-06,9.12386703,
187,0,6.2333333333333335e-06,9.14055443,
188,0,6.266666666666667e-06,9.12725067,
189,0,6.3e-06,9.10847855,
190,0,6.333333333333333e-06,9.07052135,
191,0,6.366666666666668e-06,9.12063885,
192,0,6.4000000000000006e-06,9.08375359,
193,0,6.433333333333334e-06,9.05977535,
194,0,6.466666666666667e-06,9.05709839,
195,0,6.5e-06,9.06353188,
196,0,6.533333333333333e-06,9.07068825,
197,0,6.566666666666668e-06,9.04113102,
198,0,6.6e-06,9.01873970,
199,0,6.633333333333334e-06,9.04308128,
200,0,6.666666666666667e-06,9.04401779,
200,0,6.666666666666667e-06,,8.89894727
201,0,6.7e-06,9.04651642,
202,0,6.733333333333334e-06,9.03295326,
203,0,6.766666666666667e-06,9.04440880,
