global_step,epoch,lr,train_loss,val_loss
1,0,1.4999999999999998e-06,10.86409378,
2,0,2.9999999999999997e-06,10.21554756,
3,0,4.5e-06,10.21456242,
4,0,5.999999999999999e-06,10.22580528,
5,0,7.499999999999999e-06,10.19571209,
6,0,9e-06,10.16270733,
7,0,1.05e-05,10.13853741,
8,0,1.1999999999999999e-05,10.10597038,
9,0,1.3499999999999998e-05,10.08106232,
10,0,1.4999999999999999e-05,10.04354286,
11,0,1.6499999999999998e-05,10.00798321,
12,0,1.8e-05,9.96676826,
13,0,1.95e-05,9.94089985,
14,0,2.1e-05,9.90443993,
15,0,2.2499999999999998e-05,9.89129639,
16,0,2.3999999999999997e-05,9.85737228,
17,0,2.5499999999999996e-05,9.85618401,
18,0,2.6999999999999996e-05,9.82780933,
19,0,2.8499999999999998e-05,9.79488087,
20,0,2.9999999999999997e-05,9.76244068,
21,0,3.149999999999999e-05,9.75707817,
22,0,3.2999999999999996e-05,9.72450066,
23,0,3.45e-05,9.67457199,
24,0,3.6e-05,9.64383888,
25,0,3.75e-05,9.69219875,
26,0,3.9e-05,9.62614822,
27,0,4.0499999999999995e-05,9.61287689,
28,0,4.2e-05,9.57893753,
29,0,4.35e-05,9.57060909,
30,0,4.4999999999999996e-05,9.55305386,
31,0,4.65e-05,9.52140045,
32,0,4.7999999999999994e-05,9.49685287,
33,0,4.95e-05,9.45193863,
34,0,5.099999999999999e-05,9.41015434,
35,0,5.2499999999999995e-05,9.41327286,
36,0,5.399999999999999e-05,9.39356518,
37,0,5.5499999999999994e-05,9.32469463,
38,0,5.6999999999999996e-05,9.30879307,
39,0,5.849999999999999e-05,9.25079536,
40,0,5.9999999999999995e-05,9.21477413,
41,0,6.149999999999999e-05,9.12459660,
42,0,6.299999999999999e-05,9.06419659,
43,0,6.45e-05,9.04980659,
44,0,6.599999999999999e-05,8.98066521,
45,0,6.749999999999999e-05,8.95239162,
46,0,6.9e-05,8.88982010,
47,0,7.049999999999999e-05,8.83528519,
48,0,7.2e-05,8.84630680,
49,0,7.35e-05,8.73889446,
50,0,7.5e-05,8.72096443,
51,0,7.65e-05,8.65335369,
52,0,7.8e-05,8.59389782,
53,0,7.949999999999998e-05,8.53610992,
54,0,8.099999999999999e-05,8.47243500,
55,0,8.249999999999999e-05,8.41547298,
56,0,8.4e-05,8.38401222,
57,0,8.549999999999999e-05,8.38123226,
58,0,8.7e-05,8.31097221,
59,0,8.849999999999998e-05,8.30184746,
60,0,8.999999999999999e-05,8.17585373,
61,0,9.149999999999999e-05,8.14679337,
62,0,9.3e-05,8.09240532,
63,0,9.449999999999998e-05,8.05299759,
64,0,9.599999999999999e-05,7.99447680,
65,0,9.75e-05,7.97662115,
66,0,9.9e-05,7.86507511,
67,0,0.0001005,7.84363461,
68,0,0.00010199999999999999,7.76097298,
69,0,0.0001035,7.73705673,
70,0,0.00010499999999999999,7.66515875,
71,0,0.0001065,7.63781166,
72,0,0.00010799999999999998,7.58982754,
73,0,0.00010949999999999999,7.48643017,
74,0,0.00011099999999999999,7.38342714,
75,0,0.0001125,7.41097784,
76,0,0.00011399999999999999,7.36278152,
77,0,0.00011549999999999999,7.31695080,
78,0,0.00011699999999999998,7.23562574,
79,0,0.0001185,7.21964359,
80,0,0.00011999999999999999,7.09053183,
81,0,0.0001215,7.05822563,
82,0,0.00012299999999999998,7.00575113,
83,0,0.0001245,7.01824188,
84,0,0.00012599999999999997,6.94069719,
85,0,0.00012749999999999998,6.87098217,
86,0,0.000129,6.85208416,
87,0,0.0001305,6.77132130,
88,0,0.00013199999999999998,6.76091242,
89,0,0.0001335,6.70606041,
90,0,0.00013499999999999997,6.64877510,
91,0,0.00013649999999999998,6.60317993,
92,0,0.000138,6.58856869,
93,0,0.00013949999999999998,6.45016384,
94,0,0.00014099999999999998,6.47184944,
95,0,0.0001425,6.46003389,
96,0,0.000144,6.31606102,
97,0,0.00014549999999999999,6.33047771,
98,0,0.000147,6.28432655,
99,0,0.00014849999999999998,6.28628063,
100,0,0.00015,6.16611576,
101,0,0.0001515,6.10833359,
102,0,0.000153,6.08614397,
103,0,0.0001545,6.09255314,
104,0,0.000156,6.00862503,
105,0,0.0001575,5.97461939,
106,0,0.00015899999999999996,6.05282736,
107,0,0.00016049999999999997,5.90671158,
108,0,0.00016199999999999998,5.91787148,
109,0,0.0001635,5.94266987,
110,0,0.00016499999999999997,5.88166094,
111,0,0.00016649999999999998,5.81028652,
112,0,0.000168,5.77450037,
113,0,0.0001695,5.68364382,
114,0,0.00017099999999999998,5.61176109,
115,0,0.0001725,5.65928555,
116,0,0.000174,5.65193939,
117,0,0.00017549999999999998,5.57948542,
118,0,0.00017699999999999997,5.55373859,
119,0,0.00017849999999999997,5.49752617,
120,0,0.00017999999999999998,5.53498936,
121,0,0.0001815,5.43238354,
122,0,0.00018299999999999998,5.35441017,
123,0,0.00018449999999999999,5.39515352,
124,0,0.000186,5.30061436,
125,0,0.0001875,5.20987654,
126,0,0.00018899999999999996,5.29436731,
127,0,0.00019049999999999997,5.18315411,
128,0,0.00019199999999999998,5.22456741,
129,0,0.0001935,5.25220442,
130,0,0.000195,5.12194490,
131,0,0.00019649999999999998,5.12817240,
132,0,0.000198,5.14955854,
133,0,0.0001995,5.08855867,
134,0,0.000201,5.05650902,
135,0,0.00020249999999999996,5.04923439,
136,0,0.00020399999999999997,4.98994446,
137,0,0.00020549999999999998,4.99849033,
138,0,0.000207,4.96769333,
139,0,0.00020849999999999997,4.87013578,
140,0,0.00020999999999999998,4.83064461,
141,0,0.0002115,4.82177401,
142,0,0.000213,4.94197083,
