global_step,epoch,lr,train_loss,val_loss
1,0,1.4999999999999998e-06,10.90445328,
2,0,2.9999999999999997e-06,10.21404552,
3,0,4.5e-06,10.20702171,
4,0,5.999999999999999e-06,10.19940376,
5,0,7.499999999999999e-06,10.18895721,
6,0,9e-06,10.13377476,
7,0,1.05e-05,10.10971260,
8,0,1.1999999999999999e-05,10.07004356,
9,0,1.3499999999999998e-05,10.05222130,
10,0,1.4999999999999999e-05,10.02973175,
11,0,1.6499999999999998e-05,9.93235397,
12,0,1.8e-05,9.91491032,
13,0,1.95e-05,9.90570068,
14,0,2.1e-05,9.87367821,
15,0,2.2499999999999998e-05,9.84483814,
16,0,2.3999999999999997e-05,9.83759022,
17,0,2.5499999999999996e-05,9.80432796,
18,0,2.6999999999999996e-05,9.77381706,
19,0,2.8499999999999998e-05,9.71736717,
20,0,2.9999999999999997e-05,9.74607277,
21,0,3.149999999999999e-05,9.70195961,
22,0,3.2999999999999996e-05,9.70513153,
23,0,3.45e-05,9.64837551,
24,0,3.6e-05,9.63950253,
25,0,3.75e-05,9.62473106,
26,0,3.9e-05,9.58893204,
27,0,4.0499999999999995e-05,9.59682941,
28,0,4.2e-05,9.56142902,
29,0,4.35e-05,9.54084015,
30,0,4.4999999999999996e-05,9.50423050,
31,0,4.65e-05,9.46912098,
32,0,4.7999999999999994e-05,9.48806953,
33,0,4.95e-05,9.43802452,
34,0,5.099999999999999e-05,9.40754414,
35,0,5.2499999999999995e-05,9.36326504,
36,0,5.399999999999999e-05,9.34280205,
37,0,5.5499999999999994e-05,9.30813217,
38,0,5.6999999999999996e-05,9.26503086,
39,0,5.849999999999999e-05,9.21913433,
40,0,5.9999999999999995e-05,9.16086864,
41,0,6.149999999999999e-05,9.11329365,
42,0,6.299999999999999e-05,9.01016998,
43,0,6.45e-05,9.02789974,
44,0,6.599999999999999e-05,8.94857121,
45,0,6.749999999999999e-05,8.92951488,
46,0,6.9e-05,8.89359474,
47,0,7.049999999999999e-05,8.81457710,
48,0,7.2e-05,8.79602146,
49,0,7.35e-05,8.71024704,
50,0,7.5e-05,8.68306732,
51,0,7.65e-05,8.62709618,
52,0,7.8e-05,8.66298103,
53,0,7.949999999999998e-05,8.54012871,
54,0,8.099999999999999e-05,8.44478607,
55,0,8.249999999999999e-05,8.46755219,
56,0,8.4e-05,8.39087772,
57,0,8.549999999999999e-05,8.35388088,
58,0,8.7e-05,8.28273773,
59,0,8.849999999999998e-05,8.22597218,
60,0,8.999999999999999e-05,8.17343712,
61,0,9.149999999999999e-05,8.15244865,
62,0,9.3e-05,8.05581570,
63,0,9.449999999999998e-05,8.00501347,
64,0,9.599999999999999e-05,7.95199442,
65,0,9.75e-05,7.89838886,
66,0,9.9e-05,7.84030819,
67,0,0.0001005,7.77859497,
68,0,0.00010199999999999999,7.76367331,
69,0,0.0001035,7.64473581,
70,0,0.00010499999999999999,7.63527107,
71,0,0.0001065,7.58769608,
72,0,0.00010799999999999998,7.54698086,
73,0,0.00010949999999999999,7.44686413,
74,0,0.00011099999999999999,7.44483709,
75,0,0.0001125,7.34776688,
76,0,0.00011399999999999999,7.28388691,
77,0,0.00011549999999999999,7.33422756,
78,0,0.00011699999999999998,7.19171762,
79,0,0.0001185,7.07703018,
80,0,0.00011999999999999999,7.07876444,
81,0,0.0001215,7.07660389,
82,0,0.00012299999999999998,7.00728798,
83,0,0.0001245,6.90206242,
84,0,0.00012599999999999997,6.87086773,
85,0,0.00012749999999999998,6.78138351,
86,0,0.000129,6.77185154,
87,0,0.0001305,6.66324377,
88,0,0.00013199999999999998,6.74350405,
89,0,0.0001335,6.59725189,
90,0,0.00013499999999999997,6.54965782,
91,0,0.00013649999999999998,6.53227139,
92,0,0.000138,6.46502495,
93,0,0.00013949999999999998,6.49132156,
94,0,0.00014099999999999998,6.38398314,
95,0,0.0001425,6.36355400,
96,0,0.000144,6.32994604,
97,0,0.00014549999999999999,6.17053509,
98,0,0.000147,6.19529724,
99,0,0.00014849999999999998,6.14349031,
100,0,0.00015,6.04258680,
101,0,0.0001515,6.12368202,
102,0,0.000153,5.95338202,
103,0,0.0001545,5.94484568,
104,0,0.000156,5.87340546,
105,0,0.0001575,5.93948936,
106,0,0.00015899999999999996,5.82831812,
107,0,0.00016049999999999997,5.84926796,
108,0,0.00016199999999999998,5.72897911,
109,0,0.0001635,5.72077656,
110,0,0.00016499999999999997,5.67577219,
111,0,0.00016649999999999998,5.60945702,
112,0,0.000168,5.65240049,
113,0,0.0001695,5.71714878,
