global_step,epoch,lr,train_loss,val_loss
1,0,1.4999999999999998e-06,10.85421753,
2,0,2.9999999999999997e-06,10.17806244,
3,0,4.5e-06,10.16391277,
4,0,5.999999999999999e-06,10.17079926,
5,0,7.499999999999999e-06,10.12718773,
6,0,9e-06,10.13608265,
7,0,1.05e-05,10.09317589,
8,0,1.1999999999999999e-05,10.02292919,
9,0,1.3499999999999998e-05,10.03257465,
10,0,1.4999999999999999e-05,9.97502422,
11,0,1.6499999999999998e-05,9.94817162,
12,0,1.8e-05,9.90522099,
13,0,1.95e-05,9.91126728,
14,0,2.1e-05,9.83938599,
15,0,2.2499999999999998e-05,9.84980774,
16,0,2.3999999999999997e-05,9.81019020,
17,0,2.5499999999999996e-05,9.76853561,
18,0,2.6999999999999996e-05,9.75273991,
19,0,2.8499999999999998e-05,9.71703434,
20,0,2.9999999999999997e-05,9.73910999,
21,0,3.149999999999999e-05,9.69327450,
22,0,3.2999999999999996e-05,9.65168953,
23,0,3.45e-05,9.62897205,
24,0,3.6e-05,9.60601330,
25,0,3.75e-05,9.63640022,
26,0,3.9e-05,9.57084084,
27,0,4.0499999999999995e-05,9.54546261,
28,0,4.2e-05,9.52357292,
29,0,4.35e-05,9.48702621,
30,0,4.4999999999999996e-05,9.46398735,
31,0,4.65e-05,9.43029022,
32,0,4.7999999999999994e-05,9.36998940,
33,0,4.95e-05,9.36952114,
34,0,5.099999999999999e-05,9.36878872,
35,0,5.2499999999999995e-05,9.33264351,
36,0,5.399999999999999e-05,9.25917625,
37,0,5.5499999999999994e-05,9.18250656,
38,0,5.6999999999999996e-05,9.13357258,
39,0,5.849999999999999e-05,9.07824039,
40,0,5.9999999999999995e-05,9.07306957,
41,0,6.149999999999999e-05,9.01935577,
42,0,6.299999999999999e-05,9.02335167,
43,0,6.45e-05,8.98220539,
44,0,6.599999999999999e-05,8.91939926,
45,0,6.749999999999999e-05,8.81424904,
46,0,6.9e-05,8.84293461,
47,0,7.049999999999999e-05,8.72858047,
48,0,7.2e-05,8.72316360,
49,0,7.35e-05,8.66595650,
50,0,7.5e-05,8.61393738,
51,0,7.65e-05,8.58577251,
52,0,7.8e-05,8.55180550,
53,0,7.949999999999998e-05,8.44968796,
54,0,8.099999999999999e-05,8.44702625,
55,0,8.249999999999999e-05,8.35997105,
56,0,8.4e-05,8.28359509,
57,0,8.549999999999999e-05,8.22727776,
58,0,8.7e-05,8.23787498,
59,0,8.849999999999998e-05,8.15796947,
60,0,8.999999999999999e-05,8.10264015,
61,0,9.149999999999999e-05,8.08269882,
62,0,9.3e-05,7.94120598,
63,0,9.449999999999998e-05,7.93465233,
64,0,9.599999999999999e-05,7.90922260,
65,0,9.75e-05,7.89091110,
66,0,9.9e-05,7.82289505,
67,0,0.0001005,7.73288250,
68,0,0.00010199999999999999,7.71087790,
69,0,0.0001035,7.64312124,
70,0,0.00010499999999999999,7.60510921,
71,0,0.0001065,7.49743462,
72,0,0.00010799999999999998,7.47832394,
73,0,0.00010949999999999999,7.46263504,
74,0,0.00011099999999999999,7.33834934,
75,0,0.0001125,7.33933830,
76,0,0.00011399999999999999,7.24539375,
77,0,0.00011549999999999999,7.17058086,
78,0,0.00011699999999999998,7.14091015,
79,0,0.0001185,7.06300402,
80,0,0.00011999999999999999,7.00944233,
81,0,0.0001215,6.99924564,
82,0,0.00012299999999999998,6.97049332,
83,0,0.0001245,6.87655354,
84,0,0.00012599999999999997,6.82326603,
85,0,0.00012749999999999998,6.81224728,
86,0,0.000129,6.72325659,
87,0,0.0001305,6.72688580,
88,0,0.00013199999999999998,6.62796879,
89,0,0.0001335,6.58044815,
90,0,0.00013499999999999997,6.51436329,
91,0,0.00013649999999999998,6.42583084,
92,0,0.000138,6.39369392,
93,0,0.00013949999999999998,6.36113977,
94,0,0.00014099999999999998,6.37476921,
95,0,0.0001425,6.24247074,
96,0,0.000144,6.25748444,
97,0,0.00014549999999999999,6.15912151,
98,0,0.000147,6.17181063,
99,0,0.00014849999999999998,6.09348679,
100,0,0.00015,6.02083683,
101,0,0.0001515,6.00955343,
102,0,0.000153,5.91629887,
103,0,0.0001545,5.97256470,
104,0,0.000156,5.89429379,
105,0,0.0001575,5.81872034,
106,0,0.00015899999999999996,5.74450016,
107,0,0.00016049999999999997,5.77596188,
108,0,0.00016199999999999998,5.68429852,
109,0,0.0001635,5.71748924,
110,0,0.00016499999999999997,5.58024406,
111,0,0.00016649999999999998,5.49586105,
112,0,0.000168,5.51614094,
113,0,0.0001695,5.47739601,
114,0,0.00017099999999999998,5.44928360,
115,0,0.0001725,5.38065386,
116,0,0.000174,5.36112690,
117,0,0.00017549999999999998,5.43161964,
118,0,0.00017699999999999997,5.28098106,
119,0,0.00017849999999999997,5.28160000,
120,0,0.00017999999999999998,5.29886675,
121,0,0.0001815,5.17499399,
122,0,0.00018299999999999998,5.28597736,
123,0,0.00018449999999999999,5.12956333,
124,0,0.000186,5.07705450,
125,0,0.0001875,5.07866764,
126,0,0.00018899999999999996,4.97176552,
127,0,0.00019049999999999997,5.04462767,
128,0,0.00019199999999999998,4.94933319,
129,0,0.0001935,4.94441891,
130,0,0.000195,4.91874838,
131,0,0.00019649999999999998,4.90379286,
132,0,0.000198,4.86759329,
133,0,0.0001995,4.85013628,
134,0,0.000201,4.69137621,
135,0,0.00020249999999999996,4.79753828,
136,0,0.00020399999999999997,4.72778463,
137,0,0.00020549999999999998,4.64488983,
138,0,0.000207,4.66164303,
139,0,0.00020849999999999997,4.55296612,
140,0,0.00020999999999999998,4.60566521,
141,0,0.0002115,4.61630964,
142,0,0.000213,4.50678921,
143,0,0.00021449999999999996,4.44650745,
144,0,0.00021599999999999996,4.49405193,
145,0,0.00021749999999999997,4.37760735,
146,0,0.00021899999999999998,4.45097351,
147,0,0.00022049999999999997,4.27109718,
148,0,0.00022199999999999998,4.33657408,
149,0,0.00022349999999999998,4.31110001,
150,0,0.000225,4.26692104,
151,0,0.00022649999999999998,4.13758755,
152,0,0.00022799999999999999,4.23767424,
153,0,0.0002295,4.21257448,
154,0,0.00023099999999999998,4.19985151,
155,0,0.00023249999999999996,4.09809351,
156,0,0.00023399999999999997,4.16620255,
157,0,0.00023549999999999998,4.05544949,
158,0,0.000237,4.12726879,
159,0,0.00023849999999999997,4.05687904,
160,0,0.00023999999999999998,3.97871041,
161,0,0.0002415,3.88652039,
162,0,0.000243,3.85512471,
163,0,0.0002445,3.75463080,
164,0,0.00024599999999999996,3.81805587,
165,0,0.0002475,3.84067345,
166,0,0.000249,3.87194228,
167,0,0.0002505,3.85831881,
168,0,0.00025199999999999995,3.72946191,
169,0,0.0002535,3.64244103,
170,0,0.00025499999999999996,3.62971544,
171,0,0.0002565,3.69909620,
172,0,0.000258,3.62696123,
173,0,0.00025949999999999997,3.59382463,
174,0,0.000261,3.51597691,
175,0,0.0002625,3.55131197,
176,0,0.00026399999999999997,3.48811054,
177,0,0.00026549999999999995,3.39954519,
178,0,0.000267,3.39280653,
179,0,0.00026849999999999997,3.30983806,
180,0,0.00026999999999999995,3.35688543,
181,0,0.0002715,3.37710738,
182,0,0.00027299999999999997,3.25614405,
183,0,0.0002745,3.23218083,
184,0,0.000276,3.27721691,
185,0,0.00027749999999999997,3.24911737,
186,0,0.00027899999999999995,3.25750661,
187,0,0.0002805,3.19084883,
188,0,0.00028199999999999997,3.23082566,
189,0,0.00028349999999999995,3.11114073,
190,0,0.000285,3.09716940,
191,0,0.00028649999999999997,3.09776902,
192,0,0.000288,3.16972947,
193,0,0.0002895,3.16852117,
194,0,0.00029099999999999997,2.96705055,
195,0,0.0002925,2.96842933,
196,0,0.000294,2.95168543,
197,0,0.00029549999999999997,3.01284599,
198,0,0.00029699999999999996,2.88261652,
199,0,0.0002985,2.81577301,
200,0,0.0003,2.82421303,
200,0,0.0003,,3.22640265
201,0,0.00029999999811910203,2.81791544,
202,0,0.00029999999247640814,2.81813097,
203,0,0.0002999999830719186,2.75503206,
204,0,0.0002999999699056335,2.81191921,
205,0,0.0002999999529775533,2.76165581,
206,0,0.0002999999322876783,2.76250291,
207,0,0.00029999990783600907,2.65808916,
208,0,0.00029999987962254625,2.71673822,
209,0,0.0002999998476472905,2.69577050,
210,0,0.0002999998119102426,2.63576531,
211,0,0.00029999977241140357,2.66748714,
212,0,0.00029999972915077433,2.64649892,
213,0,0.0002999996821283559,2.67254972,
214,0,0.00029999963134414955,2.50766850,
215,0,0.0002999995767981565,2.56172442,
216,0,0.00029999951849037814,2.52161574,
217,0,0.000299999456420816,2.58071089,
218,0,0.0002999993905894715,2.47921062,
219,0,0.0002999993209963463,2.48325300,
220,0,0.0002999992476414423,2.44694710,
221,0,0.0002999991705247612,2.39452195,
222,0,0.00029999908964630504,2.43105984,
223,0,0.0002999990050060757,2.39392400,
224,0,0.0002999989166040754,2.32091713,
225,0,0.0002999988244403064,2.38214397,
226,0,0.0002999987285147709,2.29003620,
227,0,0.0002999986288274714,2.25591469,
228,0,0.0002999985253784103,2.35225010,
229,0,0.00029999841816759034,2.40046954,
230,0,0.00029999830719501405,2.20707917,
