global_step,epoch,lr,train_loss,val_loss
1,0,1.4999999999999998e-06,10.95820808,
2,0,2.9999999999999997e-06,10.67573738,
3,0,4.5e-06,10.62244606,
4,0,5.999999999999999e-06,10.53850746,
5,0,7.499999999999999e-06,10.41696167,
6,0,9e-06,10.31011391,
7,0,1.05e-05,10.27248287,
8,0,1.1999999999999999e-05,10.19892883,
9,0,1.3499999999999998e-05,10.15297890,
10,0,1.4999999999999999e-05,10.13963318,
11,0,1.6499999999999998e-05,10.12532330,
12,0,1.8e-05,10.07138443,
13,0,1.95e-05,10.04240799,
14,0,2.1e-05,10.02662373,
15,0,2.2499999999999998e-05,9.99705601,
16,0,2.3999999999999997e-05,9.93531609,
17,0,2.5499999999999996e-05,9.90329361,
18,0,2.6999999999999996e-05,9.87652493,
19,0,2.8499999999999998e-05,9.84322453,
20,0,2.9999999999999997e-05,9.80696869,
21,0,3.149999999999999e-05,9.78040028,
22,0,3.2999999999999996e-05,9.75642395,
23,0,3.45e-05,9.75343418,
24,0,3.6e-05,9.71788883,
25,0,3.75e-05,9.69882393,
26,0,3.9e-05,9.65183735,
27,0,4.0499999999999995e-05,9.63322830,
28,0,4.2e-05,9.61308098,
29,0,4.35e-05,9.62487888,
30,0,4.4999999999999996e-05,9.58014107,
31,0,4.65e-05,9.53602219,
32,0,4.7999999999999994e-05,9.52247810,
33,0,4.95e-05,9.49688053,
34,0,5.099999999999999e-05,9.49283409,
35,0,5.2499999999999995e-05,9.45178986,
36,0,5.399999999999999e-05,9.43324661,
37,0,5.5499999999999994e-05,9.37453079,
38,0,5.6999999999999996e-05,9.40582848,
39,0,5.849999999999999e-05,9.34870243,
40,0,5.9999999999999995e-05,9.30079460,
41,0,6.149999999999999e-05,9.30046654,
42,0,6.299999999999999e-05,9.23016167,
43,0,6.45e-05,9.18892288,
44,0,6.599999999999999e-05,9.17634010,
45,0,6.749999999999999e-05,9.15232182,
46,0,6.9e-05,9.12208462,
47,0,7.049999999999999e-05,9.04958916,
48,0,7.2e-05,9.00587273,
49,0,7.35e-05,8.99988174,
50,0,7.5e-05,8.93429756,
51,0,7.65e-05,8.89999866,
52,0,7.8e-05,8.85443687,
53,0,7.949999999999998e-05,8.83909607,
54,0,8.099999999999999e-05,8.77810001,
55,0,8.249999999999999e-05,8.76061344,
56,0,8.4e-05,8.72988510,
57,0,8.549999999999999e-05,8.67642212,
58,0,8.7e-05,8.62656212,
59,0,8.849999999999998e-05,8.51922035,
60,0,8.999999999999999e-05,8.51340866,
61,0,9.149999999999999e-05,8.50970650,
62,0,9.3e-05,8.43597698,
63,0,9.449999999999998e-05,8.36410618,
64,0,9.599999999999999e-05,8.37085152,
65,0,9.75e-05,8.29233360,
66,0,9.9e-05,8.25624466,
67,0,0.0001005,8.19482613,
68,0,0.00010199999999999999,8.15084267,
69,0,0.0001035,8.10753441,
70,0,0.00010499999999999999,8.02613926,
71,0,0.0001065,8.03170681,
72,0,0.00010799999999999998,7.90423012,
73,0,0.00010949999999999999,8.21089363,
74,0,0.00011099999999999999,8.18747330,
75,0,0.0001125,7.73749542,
76,0,0.00011399999999999999,7.68485260,
77,0,0.00011549999999999999,7.61809158,
